feature,combined_rank,f_rank,mi_rank,boruta_rank,rfe_rank,rf_rank,xgb_rank,shap_rank,in_g3
Short_Term_Holder_SOPR,1.45,1.0,1.0,1.0,1.0,1.0,4.0,1.0,True
CDL_ENGULFING,5.35,2.0,3.0,1.0,1.0,3.0,1.0,26.0,False
Supply_in_Loss,5.6499999999999995,6.0,5.0,1.0,1.0,7.0,12.0,9.0,True
CMO,10.4,53.0,19.0,1.0,1.0,13.0,3.0,3.0,False
UTXOs_in_Loss_pct,11.350000000000001,12.0,17.0,1.0,1.0,9.0,18.0,27.0,True
Spent_Output_Profit_Ratio__SOPR,12.6,5.0,2.0,1.0,1.0,2.0,43.0,32.0,False
UTXOs_in_Loss,18.5,14.0,10.0,1.0,1.0,6.0,42.0,57.0,True
SP500_Returns,20.099999999999998,11.0,104.0,1.0,1.0,14.0,26.0,15.0,False
NASDAQ_Returns,20.4,9.0,16.0,1.0,1.0,21.0,37.0,59.0,False
Dist_to_SMA200,20.900000000000002,65.0,76.0,1.0,1.0,24.0,17.0,2.0,True
MOM,21.9,10.0,93.0,1.0,1.0,8.0,49.0,18.0,False
AROONOSC,22.700000000000003,15.0,102.0,1.0,1.0,11.0,38.0,22.0,False
Adjusted_SOPR__aSOPR,24.95,3.0,12.0,1.0,1.0,5.0,83.0,66.0,True
Supply_in_Profit,26.85,19.0,51.0,1.0,1.0,23.0,70.0,37.0,True
BOP,28.65,80.0,86.0,1.0,1.0,15.0,59.0,4.0,False
MVRV_z_365,32.3,7.0,140.0,1.0,1.0,29.0,53.0,33.0,True
ULTOSC,33.900000000000006,114.0,64.0,1.0,1.0,19.0,78.0,8.0,False
ROCR100,34.15,4.0,199.0,1.0,1.0,10.0,63.0,17.0,False
PLUS_DI,37.3,49.0,178.0,1.0,1.0,22.0,68.0,5.0,False
ROI30d,39.35,8.0,112.0,1.0,1.0,25.0,121.0,34.0,True
BB_PercentB_20,39.6,106.0,186.0,1.0,1.0,12.0,31.0,24.0,True
ROC,39.65,130.0,191.0,1.0,1.0,26.0,16.0,6.0,False
CDL_HAMMER,41.4,13.0,54.0,1.0,1.0,32.0,13.0,184.0,False
OBV,42.65,113.0,223.0,1.0,1.0,20.0,7.0,31.0,True
Net_Realized_Profit_and_Loss__NRPL,47.9,23.0,4.0,1.0,1.0,4.0,5.0,290.0,True
MFI,47.95,48.0,74.0,1.0,1.0,68.0,47.0,121.0,False
Stoch_K_14_3,49.70000000000001,168.0,219.0,1.0,1.0,18.0,39.0,14.0,True
MINUS_DI,51.699999999999996,67.0,190.0,1.0,1.0,31.0,91.0,49.0,False
logret_1d,52.400000000000006,158.0,293.5,1.0,1.0,16.0,20.0,10.0,True
Drawdown_from_ATH,55.949999999999996,129.0,293.5,1.0,1.0,17.0,52.0,20.0,True
SOPR,61.75,18.0,98.0,1.0,1.0,65.0,58.0,209.0,False
Spent_Output_Age_Bands_pct,62.050000000000004,133.0,293.5,1.0,2.0,41.0,64.0,21.0,False
Sharpe_30d,62.900000000000006,38.0,293.5,1.0,1.0,30.0,88.0,78.0,True
PLUS_DM,63.25,126.0,23.0,1.0,1.0,39.0,109.0,172.0,False
UTXO_Age_Bands_pct,63.85000000000001,54.0,70.0,102.0,9.0,50.0,14.0,134.0,False
Stoch_D_14_3,66.80000000000001,68.0,293.5,1.0,1.0,28.0,84.0,90.0,True
RVT,67.05,98.0,95.0,1.0,3.0,102.0,44.0,168.0,False
ADOSC,68.30000000000001,82.0,161.0,1.0,1.0,70.0,56.0,165.0,False
CapMVRVCur,70.3,16.0,293.5,1.0,1.0,73.0,36.0,151.0,True
Coin_Days_Destroyed__CDD,73.25000000000001,260.0,293.5,1.0,5.0,33.0,67.0,13.0,False
Momentum_10,73.64999999999999,309.0,293.5,1.0,1.0,34.0,9.0,44.0,False
MACD_Line,77.85000000000001,304.0,153.0,1.0,3.0,40.0,163.0,7.0,False
FeeTotNtv,79.2,108.0,293.5,1.0,1.0,37.0,132.0,89.0,False
Realized_Cap_UTXO_Value_Bands_pct,79.85,17.0,293.5,1.0,1.0,27.0,6.0,290.0,False
VIX_Returns,80.64999999999999,22.0,151.0,1.0,1.0,46.0,194.0,180.0,False
Open,83.3,111.0,48.0,1.0,1.0,38.0,119.0,290.0,True
TxCnt_chg7,85.95,265.0,117.0,1.0,1.0,47.0,151.0,118.0,False
AD,89.19999999999999,64.0,25.0,1.0,1.0,161.0,82.0,290.0,False
APO,92.65,320.0,50.0,102.0,1.0,177.0,29.0,28.0,False
HT_QUADRATURE,92.90000000000002,215.0,204.0,102.0,1.0,122.0,65.0,16.0,False
Exchange_Outflow__Top10_All_Exchanges,93.0,93.0,90.0,102.0,20.0,60.0,71.0,211.0,False
Realized_Cap_UTXO_Age_Bands_pct,95.60000000000001,20.0,293.5,1.0,1.0,72.0,196.0,158.0,True
PiCycle_Ratio,96.85,226.0,293.5,1.0,1.0,42.0,99.0,156.0,False
