number,value,datetime_start,datetime_complete,duration,params_batch_size,params_conv_filters,params_dropout,params_lr,params_lstm_hidden,params_lstm_layers,params_seq_len,params_weight_decay,state
0,-0.005613591040897349,2026-03-26 08:59:23.979934,2026-03-26 09:00:12.498854,0 days 00:00:48.518920,128,32,0.4329770563201687,0.00022948683681130568,32,3,10,5.337032762603957e-06,COMPLETE
1,0.0864912391074071,2026-03-26 09:00:12.499910,2026-03-26 09:02:16.378009,0 days 00:02:03.878099,64,128,0.34301794076057535,0.00019485671251272575,32,1,20,1.8205657658407268e-06,COMPLETE
2,0.0,2026-03-26 09:02:16.379008,2026-03-26 09:05:08.232365,0 days 00:02:51.853357,64,64,0.31868411173731187,0.0002060924941320236,32,2,20,0.00755681014127443,COMPLETE
3,0.4727154224962384,2026-03-26 09:05:08.233316,2026-03-26 09:08:46.948339,0 days 00:03:38.715023,32,128,0.15636968998990508,0.0023062618121677952,64,2,10,1.987021538542864e-06,COMPLETE
4,0.3003382923641971,2026-03-26 09:08:46.949286,2026-03-26 09:10:58.378181,0 days 00:02:11.428895,64,32,0.2243929286862649,0.00035684261232554244,64,1,10,0.000828752236376816,COMPLETE
5,-0.0013549228895205106,2026-03-26 09:10:58.378956,2026-03-26 09:12:20.094007,0 days 00:01:21.715051,128,32,0.22574239243053068,0.0007312171172786406,32,2,20,0.004268407710065497,COMPLETE
6,0.42618022726808774,2026-03-26 09:12:20.094982,2026-03-26 09:14:35.483153,0 days 00:02:15.388171,128,32,0.422976062065625,0.0033299080375866637,256,2,20,1.8707420137660263e-05,COMPLETE
7,0.0,2026-03-26 09:14:35.484093,2026-03-26 09:15:27.952933,0 days 00:00:52.468840,64,32,0.2454518409517176,0.004477427984113198,64,3,10,0.007076022085822013,COMPLETE
8,0.48065362504674497,2026-03-26 09:15:27.953747,2026-03-26 09:19:59.350161,0 days 00:04:31.396414,32,128,0.3688542189623515,0.001967745288261344,256,1,20,8.923807143379781e-06,COMPLETE
9,0.0,2026-03-26 09:19:59.351123,2026-03-26 09:20:52.577626,0 days 00:00:53.226503,64,32,0.35806911616378,0.00019780776349405252,64,1,30,0.0005804314717414074,COMPLETE
10,0.4929666251654912,2026-03-26 09:20:52.578459,2026-03-26 09:24:05.003079,0 days 00:03:12.424620,32,128,0.4885506029812891,0.001358194482132228,256,1,5,4.466708652124698e-05,COMPLETE
11,0.5306733670154465,2026-03-26 09:24:05.003888,2026-03-26 09:27:33.627207,0 days 00:03:28.623319,32,128,0.48722134129769973,0.0014274837617345103,256,1,5,7.777786661662805e-05,COMPLETE
