number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.5117074071488185,2026-03-24 09:41:50.976594,2026-03-24 09:41:59.529813,0 days 00:00:08.553219,0.4936111842654619,0.1001303991139125,12,19,900,36,0.6245760287469893,0.002570603566117598,0.7993292420985183,COMPLETE
1,0.4843154444507838,2026-03-24 09:41:59.531341,2026-03-24 09:42:05.454892,0 days 00:00:05.923551,0.5274034664069657,0.2652261985899886,3,22,1500,71,5.472429642032198e-06,0.00052821153945323,0.9162213204002109,COMPLETE
2,0.5016858485189181,2026-03-24 09:42:05.455888,2026-03-24 09:42:13.667243,0 days 00:00:08.211355,0.5752867891211308,0.061226156060280326,5,40,1000,148,0.1165691561324743,6.267062696005991e-07,0.569746930326021,COMPLETE
3,0.5014251468773244,2026-03-24 09:42:13.668119,2026-03-24 09:42:34.502815,0 days 00:00:20.834696,0.502314474212375,0.006047360568422396,8,11,1100,286,4.905556676028774,0.18861495878553936,0.8037724259507192,COMPLETE
4,0.5186927553390179,2026-03-24 09:42:34.503616,2026-03-24 09:42:36.813956,0 days 00:00:02.310340,0.47322294090686734,0.08234548958371457,3,52,700,29,1.527156759251193,2.133142332373004e-06,0.7200762468698007,COMPLETE
5,0.5114413059283779,2026-03-24 09:42:36.815031,2026-03-24 09:42:46.248636,0 days 00:00:09.433605,0.5109126733153162,0.04204647637909148,6,98,1400,237,2.854239907497756,1.1309571585271483,0.7733551396716398,COMPLETE
6,0.5071562118418487,2026-03-24 09:42:46.249512,2026-03-24 09:43:09.229178,0 days 00:00:22.979666,0.4271363733463229,0.007183284336890004,12,36,1300,129,2.7678419414850017e-06,0.28749982347407854,0.5979914312095727,COMPLETE
7,0.4980586638732838,2026-03-24 09:43:09.230002,2026-03-24 09:43:17.171999,0 days 00:00:07.941997,0.8813181884524238,0.04612811663739071,5,12,800,297,0.08916674715636537,6.143857495033091e-07,0.5704621124873813,COMPLETE
8,0.49518667397707977,2026-03-24 09:43:17.172813,2026-03-24 09:43:24.898225,0 days 00:00:07.725412,0.8627622080115674,0.09033775094656361,11,12,200,120,1.1036250149900698e-07,0.5860448217200517,0.8645035840204937,COMPLETE
9,0.5109381230395122,2026-03-24 09:43:24.901181,2026-03-24 09:43:36.748023,0 days 00:00:11.846842,0.5951099932160482,0.006486140685631152,6,75,1300,199,0.9658611176861268,0.0001778010520878397,0.6554911608578311,COMPLETE
10,0.5040969370577757,2026-03-24 09:43:36.748779,2026-03-24 09:43:43.280357,0 days 00:00:06.531578,0.7217131532186558,0.0176236902505707,3,63,1900,24,0.003327054963436224,2.6701270073566428e-08,0.6889757749826013,COMPLETE
11,0.50306782161844,2026-03-24 09:43:43.281178,2026-03-24 09:43:47.914805,0 days 00:00:04.633627,0.6848388465895693,0.17602970502158452,9,51,500,23,0.0029151336209232823,0.0006595275735889532,0.7252583081139429,COMPLETE
12,0.5097214918516888,2026-03-24 09:43:47.915722,2026-03-24 09:43:52.623347,0 days 00:00:04.707625,0.4164206198223613,0.12470413721215695,10,79,600,78,0.037110179889911124,1.2182223306431187e-05,0.997829038567777,COMPLETE
