number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_label_smoothing,params_lr,params_n_context_tokens,params_n_cross_layers,params_n_encoder_layers,params_n_heads,params_warmup_epochs,params_weight_decay,state
0,0.32985134031489655,2026-03-24 15:58:58.886377,2026-03-24 16:08:07.182605,0 days 00:09:08.296228,128,0.4329770563201687,256,0.09177793420835692,0.00022948683681130568,4,3,2,2,12,5.337032762603957e-06,COMPLETE
1,0.23767580840057387,2026-03-24 16:08:07.186974,2026-03-24 16:10:26.531192,0 days 00:02:19.344218,128,0.4795542149013333,512,0.07427653651669053,0.0043709904681305065,8,1,2,8,8,0.0017123375973163992,COMPLETE
2,0.2678906030321634,2026-03-24 16:10:26.531958,2026-03-24 16:12:48.184677,0 days 00:02:21.652719,256,0.3391599915244341,256,0.12431062637278939,0.0036832964384234204,4,3,4,4,12,2.259279742015697e-06,COMPLETE
3,0.26094904369991817,2026-03-24 16:12:48.185332,2026-03-24 16:19:08.180136,0 days 00:06:19.994804,128,0.3916028672163949,512,0.009533752542903545,0.0020434554984161395,32,3,4,2,13,1.9777828512462715e-06,COMPLETE
4,0.305472923294515,2026-03-24 16:19:08.180788,2026-03-24 16:25:10.187830,0 days 00:06:02.007042,128,0.3090931317527976,512,0.13613497108891395,0.0005325732706437209,8,2,4,4,18,1.263794633808288e-06,COMPLETE
5,0.0704810923898103,2026-03-24 16:25:10.188747,2026-03-24 16:34:17.076953,0 days 00:09:06.888206,64,0.17462802355441434,512,0.06406616829393845,0.0032842103509117325,16,3,4,2,10,0.00014367095138664247,COMPLETE
6,0.05054446487719025,2026-03-24 16:34:17.077616,2026-03-24 16:42:43.463793,0 days 00:08:26.386177,64,0.2454518409517176,256,0.09143465009698452,0.004477427984113198,4,3,3,4,5,0.007076022085822013,COMPLETE
7,0.37605633849191306,2026-03-24 16:42:43.464800,2026-03-24 16:46:27.768357,0 days 00:03:44.303557,256,0.3912865394447439,128,0.027977776559978133,0.000421553316694912,4,1,4,2,13,0.00033823872019362184,COMPLETE
8,0.3940218714705385,2026-03-24 16:46:27.768996,2026-03-24 17:10:12.030323,0 days 00:23:44.261327,32,0.23642654042010341,512,0.07944758675340097,0.00015587917868879208,32,1,4,4,19,0.004997749370303174,COMPLETE
9,0.3023879713905227,2026-03-24 17:10:12.030965,2026-03-24 17:13:03.134147,0 days 00:02:51.103182,256,0.13365598599801953,512,0.024121207712624798,0.00018819251105233788,4,2,4,4,5,0.00392840951347923,COMPLETE
