number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_label_smoothing,params_lr,params_n_encoder_layers,params_warmup_epochs,params_weight_decay,state
0,0.3468198883273856,2026-03-25 19:27:33.992873,2026-03-25 19:34:19.939100,0 days 00:06:45.946227,32,0.1624074561769746,256,0.12486639612006326,0.00018408992080552527,4,30,1.7073967431528114e-06,COMPLETE
1,0.3948588568232654,2026-03-25 19:34:19.940523,2026-03-25 19:42:31.054553,0 days 00:08:11.114030,32,0.3099025726528951,128,0.11777639420895203,0.0005418282319533242,3,16,1.461896279370496e-05,COMPLETE
2,0.3430894931008557,2026-03-25 19:42:31.059237,2026-03-25 19:47:19.739978,0 days 00:04:48.680741,64,0.34301794076057535,512,0.10263495397682353,0.00019485671251272575,2,7,1.8205657658407268e-06,COMPLETE
3,0.3551368118907295,2026-03-25 19:47:19.741558,2026-03-25 19:50:05.507421,0 days 00:02:45.765863,128,0.4637281608315128,512,0.11626992350416718,0.00027520696850790545,2,30,0.0004467752817973908,COMPLETE
4,0.3785094687852881,2026-03-25 19:50:05.557433,2026-03-25 19:51:15.678846,0 days 00:01:10.121413,256,0.1353970008207678,128,0.042140176453107116,0.000215262809722153,5,14,1.5167330688076198e-06,COMPLETE
5,0.43007885759338316,2026-03-25 19:51:15.680510,2026-03-25 19:53:50.263372,0 days 00:02:34.582862,64,0.4947547746402069,512,0.011106697760113554,0.0020512599422151364,2,25,6.235377135673162e-06,COMPLETE
6,0.3044913183375581,2026-03-25 19:53:50.264280,2026-03-25 19:54:58.711485,0 days 00:01:08.447205,256,0.23235920994105969,512,0.017939136890745253,0.00012822825454807568,4,17,1.753594952976443e-05,COMPLETE
7,0.3860741556251223,2026-03-25 19:54:58.713001,2026-03-25 19:56:29.346055,0 days 00:01:30.633054,256,0.2975182385457563,256,0.07628560367470541,0.0007728716861851782,5,13,5.1305517605898387e-05,COMPLETE
8,0.37565408762403246,2026-03-25 19:56:29.347320,2026-03-25 20:03:32.085227,0 days 00:07:02.737907,64,0.191519266196649,128,0.12055081153486716,0.00013514082247401428,5,27,1.4421346497969488e-05,COMPLETE
9,0.40950290110383497,2026-03-25 20:03:32.086314,2026-03-25 20:05:43.097781,0 days 00:02:11.011467,256,0.45843651996939727,256,0.07661209538663485,0.00034695916603302916,5,5,2.7555462077796614e-06,COMPLETE
10,0.3804308386075134,2026-03-25 20:05:43.099163,2026-03-25 20:08:32.150005,0 days 00:02:49.050842,64,0.37844712134332836,512,0.001638323074362364,0.0030126077080387527,3,23,0.003488392418229459,COMPLETE
11,0.4341665371172472,2026-03-25 20:08:32.150787,2026-03-25 20:10:15.174414,0 days 00:01:43.023627,128,0.4969134305026607,256,0.06019438827858141,0.00300431177327445,3,5,5.883282701915073e-06,COMPLETE
12,0.41389437665304846,2026-03-25 20:10:15.175585,2026-03-25 20:12:22.616833,0 days 00:02:07.441248,128,0.4866702687297381,256,0.043093647573470215,0.0033016436161955485,2,23,0.00017261687217392296,COMPLETE
13,0.4146560231516944,2026-03-25 20:12:22.618131,2026-03-25 20:14:45.802968,0 days 00:02:23.184837,128,0.4087718335040773,512,0.04476252884052818,0.001620424980720664,3,10,6.807621072150274e-06,COMPLETE
14,0.4022337093080774,2026-03-25 20:14:45.803840,2026-03-25 20:17:59.200402,0 days 00:03:13.396562,64,0.498992682607969,256,0.14940254840418202,0.004967769900338869,2,23,6.084612090022072e-05,COMPLETE
15,0.422807848529068,2026-03-25 20:17:59.201451,2026-03-25 20:20:34.316421,0 days 00:02:35.114970,128,0.42526909202144836,512,0.022094830250314806,0.0014820234364941976,3,20,0.0007875010548546681,COMPLETE
16,0.3862689385708322,2026-03-25 20:20:34.317299,2026-03-25 20:23:16.583368,0 days 00:02:42.266069,128,0.41186373012901817,256,0.06077320542269513,0.0016072119985370934,4,10,5.885507932031114e-06,COMPLETE
17,0.4150274114104695,2026-03-25 20:23:16.584649,2026-03-25 20:26:06.532769,0 days 00:02:49.948120,64,0.3642396983313833,256,0.001117239509274462,0.0009996765824097618,2,26,5.43570844797019e-06,COMPLETE
18,0.37192374185070937,2026-03-25 20:26:06.533751,2026-03-25 20:33:06.202720,0 days 00:06:59.668969,32,0.2787598734653609,512,0.08843061748405474,0.0023664573157313623,3,20,3.2312949761256354e-05,COMPLETE
19,0.38463970765246813,2026-03-25 20:33:06.205869,2026-03-25 20:36:20.670057,0 days 00:03:14.464188,64,0.43745678764816326,128,0.02653878516056543,0.004303901073765201,2,10,0.0002609962082776861,COMPLETE
20,0.3622323355347829,2026-03-25 20:36:20.671225,2026-03-25 20:37:53.765939,0 days 00:01:33.094714,128,0.10490236711740694,512,0.04750582854936749,0.0021243593738762647,3,19,0.009228025470857174,COMPLETE
21,0.3853653233186056,2026-03-25 20:37:53.766943,2026-03-25 20:40:29.585044,0 days 00:02:35.818101,128,0.4272528100753764,512,0.025194269445719827,0.0012365869716823344,3,21,0.001530797891318219,COMPLETE
22,0.39783731609505485,2026-03-25 20:40:29.586712,2026-03-25 20:43:11.419274,0 days 00:02:41.832562,128,0.4975371140198833,512,0.015278528099490048,0.002037879721346717,4,26,0.0008465795455104044,COMPLETE
23,0.4179976897391808,2026-03-25 20:43:11.420604,2026-03-25 20:45:53.549495,0 days 00:02:42.128891,128,0.4599748883217155,512,0.06042234264753837,0.0012158128833304415,3,15,0.0028178871507224387,COMPLETE
24,0.38509952672271286,2026-03-25 20:45:53.550595,2026-03-25 20:48:11.253881,0 days 00:02:17.703286,128,0.39143866308060393,512,0.03131111438319865,0.0005581616800586896,3,18,0.0001582817805521479,COMPLETE
25,0.43580121261472343,2026-03-25 20:48:11.254897,2026-03-25 20:50:00.905527,0 days 00:01:49.650630,128,0.4490280098210556,256,0.012396162622938287,0.003215311837178587,2,22,8.01373833533904e-05,COMPLETE
26,0.41058941988767966,2026-03-25 20:50:00.906950,2026-03-25 20:52:14.523660,0 days 00:02:13.616710,64,0.46250414515192473,256,0.010511738419745207,0.0034207618739130453,2,28,2.3818733423865698e-05,COMPLETE
