number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.504659998960924,2026-03-24 09:41:46.147919,2026-03-24 09:42:07.925600,0 days 00:00:21.777681,0.4936111842654619,0.2904180608409973,0.1001303991139125,12,2,900,0.6245760287469893,0.002570603566117598,0.7993292420985183,COMPLETE
1,0.4836027954048867,2026-03-24 09:42:07.926678,2026-03-24 09:42:29.343174,0 days 00:00:21.416496,0.5274034664069657,0.9170225492671691,0.2652261985899886,3,2,1500,5.472429642032198e-06,0.00052821153945323,0.9162213204002109,COMPLETE
2,0.5135163488129074,2026-03-24 09:42:29.344014,2026-03-24 09:42:49.239576,0 days 00:00:19.895562,0.5752867891211308,2.28034992108518,0.061226156060280326,5,4,1000,0.1165691561324743,6.267062696005991e-07,0.569746930326021,COMPLETE
3,0.4893776258747194,2026-03-24 09:42:49.240456,2026-03-24 09:43:20.555408,0 days 00:00:31.314952,0.502314474212375,4.7444276862666666,0.006047360568422396,8,1,1100,4.905556676028774,0.18861495878553936,0.8037724259507192,COMPLETE
4,0.5091067339733287,2026-03-24 09:43:20.556310,2026-03-24 09:43:36.268077,0 days 00:00:15.711767,0.47322294090686734,0.17194260557609198,0.08234548958371457,3,5,700,1.527156759251193,2.133142332373004e-06,0.7200762468698007,COMPLETE
5,0.49611385981257733,2026-03-24 09:43:36.269070,2026-03-24 09:43:56.278743,0 days 00:00:20.009673,0.5109126733153162,3.8756641168055728,0.04204647637909148,6,10,1400,2.854239907497756,1.1309571585271483,0.7733551396716398,COMPLETE
6,0.5248202748798761,2026-03-24 09:43:56.280617,2026-03-24 09:45:01.766912,0 days 00:01:05.486295,0.4271363733463229,1.9433864484474102,0.007183284336890004,12,4,1300,2.7678419414850017e-06,0.28749982347407854,0.5979914312095727,COMPLETE
7,0.515463324815243,2026-03-24 09:45:01.768004,2026-03-24 09:45:14.834741,0 days 00:00:13.066737,0.8813181884524238,4.9344346830025865,0.04612811663739071,5,1,800,0.08916674715636537,6.143857495033091e-07,0.5704621124873813,COMPLETE
8,0.5097833982607314,2026-03-24 09:45:14.835682,2026-03-24 09:45:21.064371,0 days 00:00:06.228689,0.8627622080115674,1.7923286427213632,0.09033775094656361,11,1,200,1.1036250149900698e-07,0.5860448217200517,0.8645035840204937,COMPLETE
9,0.50464584219303,2026-03-24 09:45:21.065552,2026-03-24 09:46:00.345036,0 days 00:00:39.279484,0.5951099932160482,3.1877873567760657,0.006486140685631152,6,8,1300,0.9658611176861268,0.0001778010520878397,0.6554911608578311,COMPLETE
