experiment_id,model,group,n_features,accuracy_mean,accuracy_std,accuracy_values,precision_macro_mean,precision_macro_std,precision_macro_values,recall_macro_mean,recall_macro_std,recall_macro_values,f1_macro_mean,f1_macro_std,f1_macro_values,f1_weighted_mean,f1_weighted_std,f1_weighted_values,roc_auc_mean,roc_auc_std,roc_auc_values,mcc_mean,mcc_std,mcc_values,log_loss_mean,log_loss_std,log_loss_values,accuracy_ci_lower,accuracy_ci_upper,precision_macro_ci_lower,precision_macro_ci_upper,recall_macro_ci_lower,recall_macro_ci_upper,f1_macro_ci_lower,f1_macro_ci_upper,f1_weighted_ci_lower,f1_weighted_ci_upper,roc_auc_ci_lower,roc_auc_ci_upper,mcc_ci_lower,mcc_ci_upper
XGBoost_G0,XGBoost,G0,5,0.495183,0.032168,"[0.520833, 0.439169, 0.479167, 0.529762, 0.514881, 0.474777, 0.507692]",0.376166,0.162429,"[0.260417, 0.537592, 0.239583, 0.264881, 0.638889, 0.437952, 0.253846]",0.504561,0.010929,"[0.5, 0.507371, 0.5, 0.5, 0.528192, 0.496365, 0.5]",0.347554,0.026233,"[0.342466, 0.348029, 0.323944, 0.346304, 0.40386, 0.331537, 0.336735]",0.343017,0.032415,"[0.356735, 0.311139, 0.310446, 0.366917, 0.396203, 0.317763, 0.341915]",0.508717,0.042323,"[0.450186, 0.493512, 0.5, 0.5, 0.528051, 0.589268, 0.5]",0.018344,0.050527,"[0.0, 0.033293, 0.0, 0.0, 0.12515, -0.030036, 0.0]",0.699924,0.011881,"[0.692867, 0.719632, 0.694431, 0.69189, 0.692938, 0.714678, 0.693032]",0.475448,0.515589,0.4831,0.540018,0.490972,0.521422,0.41705,0.456184,0.408021,0.454053,0.475901,0.521854,-0.024827,0.058535
CNN-LSTM_G0,CNN-LSTM,G0,5,0.488808,0.032206,"[0.511905, 0.430267, 0.479167, 0.529762, 0.485119, 0.477745, 0.507692]",0.320483,0.125229,"[0.529365, 0.474277, 0.239583, 0.264881, 0.24256, 0.238872, 0.253846]",0.501812,0.009684,"[0.522236, 0.490448, 0.5, 0.5, 0.5, 0.5, 0.5]",0.358031,0.05809,"[0.485586, 0.363701, 0.323944, 0.346304, 0.326653, 0.323293, 0.336735]",0.351201,0.06067,"[0.480738, 0.332555, 0.310446, 0.366917, 0.316931, 0.308903, 0.341915]",0.514379,0.029404,"[0.548962, 0.475236, 0.528607, 0.525441, 0.472357, 0.533456, 0.516591]",0.002822,0.024286,"[0.051106, -0.031351, 0.0, 0.0, 0.0, 0.0, 0.0]",0.705286,0.021945,"[0.700419, 0.754331, 0.701, 0.691324, 0.696766, 0.699975, 0.693189]",0.469046,0.508323,0.475553,0.563206,0.495292,0.512424,0.35573,0.387797,0.339104,0.38503,0.478522,0.523094,-0.021417,0.055875
RandomForest_G0,RandomForest,G0,5,0.49136,0.032996,"[0.505952, 0.430267, 0.479167, 0.529762, 0.511905, 0.474777, 0.507692]",0.382136,0.121823,"[0.460985, 0.481696, 0.239583, 0.264881, 0.501166, 0.472794, 0.253846]",0.496964,0.004491,"[0.488447, 0.495044, 0.5, 0.5, 0.500479, 0.494777, 0.5]",0.360023,0.03275,"[0.387023, 0.349107, 0.323944, 0.346304, 0.419591, 0.357459, 0.336735]",0.357656,0.04278,"[0.398273, 0.314324, 0.310446, 0.366917, 0.42648, 0.345238, 0.341915]",0.495852,0.046671,"[0.465555, 0.469577, 0.459308, 0.515165, 0.452339, 0.576616, 0.532405]",-0.01198,0.01699,"[-0.042461, -0.01905, 0.0, 0.0, 0.001494, -0.023841, 0.0]",0.769137,0.05542,"[0.70717, 0.776018, 0.880797, 0.779123, 0.729352, 0.751766, 0.759734]",0.471191,0.51131,0.476018,0.520239,0.480614,0.516463,0.449404,0.488349,0.443639,0.48656,0.485636,0.530253,-0.043379,0.03635
RandomForest_G1,RandomForest,G1,15,0.509258,0.021784,"[0.520833, 0.474777, 0.485119, 0.529762, 0.526786, 0.504451, 0.523077]",0.539502,0.035576,"[0.519663, 0.520852, 0.615964, 0.51506, 0.524578, 0.54981, 0.530585]",0.514615,0.008269,"[0.519627, 0.51532, 0.505466, 0.500711, 0.521667, 0.521333, 0.518182]",0.44026,0.069169,"[0.519604, 0.455126, 0.341303, 0.357444, 0.509543, 0.432494, 0.466304]",0.438653,0.069759,"[0.520616, 0.439466, 0.328479, 0.37725, 0.51228, 0.423499, 0.468982]",0.54043,0.03172,"[0.522555, 0.537849, 0.48362, 0.577194, 0.56119, 0.566206, 0.534394]",0.041492,0.018044,"[0.03929, 0.035746, 0.050352, 0.006545, 0.046153, 0.065196, 0.047163]",0.704448,0.018305,"[0.694286, 0.706498, 0.743617, 0.696147, 0.687727, 0.700444, 0.702418]",0.48869,0.530943,0.499613,0.545867,0.499704,0.534612,0.461179,0.501642,0.454606,0.49993,0.51316,0.558693,-0.000676,0.079487
XGBoost_G1,XGBoost,G1,15,0.526224,0.019827,"[0.517857, 0.540059, 0.494048, 0.517857, 0.556548, 0.534125, 0.523077]",0.511809,0.042729,"[0.487273, 0.532966, 0.509115, 0.429012, 0.556726, 0.539223, 0.528347]",0.519607,0.022788,"[0.498385, 0.533415, 0.506087, 0.490186, 0.55252, 0.538096, 0.518561]",0.467226,0.077478,"[0.36707, 0.532803, 0.454941, 0.362175, 0.54609, 0.532131, 0.475375]",0.472581,0.072379,"[0.379942, 0.541614, 0.448858, 0.380932, 0.548141, 0.530771, 0.477809]",0.519619,0.040916,"[0.483656, 0.56483, 0.493594, 0.458541, 0.55619, 0.547678, 0.532841]",0.035967,0.055437,"[-0.009067, 0.066379, 0.014897, -0.052788, 0.109164, 0.077311, 0.045875]",0.69689,0.011799,"[0.693038, 0.685548, 0.722341, 0.693299, 0.691758, 0.694779, 0.697467]",0.506615,0.546735,0.509835,0.548773,0.509634,0.547832,0.505468,0.544761,0.504324,0.544559,0.509052,0.555508,0.019469,0.0966
CNN-LSTM_G1,CNN-LSTM,G1,15,0.480307,0.033153,"[0.479167, 0.424332, 0.479167, 0.529762, 0.464286, 0.477745, 0.507692]",0.266466,0.068041,"[0.239583, 0.212166, 0.239583, 0.264881, 0.416334, 0.238872, 0.253846]",0.496705,0.008719,"[0.5, 0.5, 0.5, 0.5, 0.476932, 0.5, 0.5]",0.329674,0.018764,"[0.323944, 0.297917, 0.323944, 0.346304, 0.355581, 0.323293, 0.336735]",0.31988,0.037118,"[0.310446, 0.252831, 0.310446, 0.366917, 0.347704, 0.308903, 0.341915]",0.52455,0.028203,"[0.563407, 0.504073, 0.538882, 0.491929, 0.492482, 0.53642, 0.544659]",-0.012552,0.033209,"[0.0, 0.0, 0.0, 0.0, -0.087864, 0.0, 0.0]",0.703701,0.010376,"[0.700655, 0.717991, 0.719175, 0.693963, 0.698033, 0.699052, 0.697035]",0.460948,0.499808,0.331545,0.518268,0.492154,0.500633,0.320527,0.341242,0.298974,0.342649,0.494125,0.53988,-0.071411,0.006796
XGBoost_G2,XGBoost,G2,23,0.683252,0.091216,"[0.696429, 0.718101, 0.744048, 0.66369, 0.669643, 0.789318, 0.501538]",0.71168,0.094709,"[0.717623, 0.72443, 0.77832, 0.749342, 0.713163, 0.790884, 0.508]",0.678447,0.091186,"[0.70236, 0.691731, 0.751056, 0.644894, 0.662523, 0.790884, 0.505682]",0.663084,0.104394,"[0.692495, 0.694318, 0.739159, 0.615456, 0.645903, 0.789318, 0.464939]",0.665748,0.104935,"[0.691046, 0.707221, 0.737671, 0.623562, 0.648632, 0.789318, 0.462786]",0.776599,0.135886,"[0.75583, 0.804052, 0.88614, 0.809913, 0.819497, 0.875494, 0.485265]",0.387273,0.182406,"[0.419706, 0.414875, 0.528673, 0.380148, 0.372258, 0.581769, 0.013484]",0.61166,0.1706,"[0.617783, 0.550212, 0.510918, 0.608339, 0.557977, 0.458317, 0.978071]",0.665386,0.701676,0.665005,0.701629,0.665107,0.701677,0.664958,0.701601,0.665647,0.701793,0.722432,0.762013,0.330198,0.403355
RandomForest_G2,RandomForest,G2,23,0.601591,0.07112,"[0.577381, 0.676558, 0.592262, 0.568452, 0.619048, 0.694362, 0.483077]",0.650386,0.089398,"[0.634122, 0.673759, 0.658271, 0.775542, 0.633235, 0.697412, 0.480358]",0.596672,0.070247,"[0.589565, 0.650133, 0.604596, 0.541139, 0.613391, 0.696534, 0.481345]",0.56544,0.092814,"[0.544715, 0.650511, 0.559987, 0.431313, 0.601763, 0.694265, 0.475524]",0.568898,0.091606,"[0.539634, 0.66495, 0.555021, 0.447936, 0.604232, 0.694023, 0.476493]",0.692816,0.098995,"[0.689902, 0.748937, 0.7611, 0.740933, 0.659456, 0.763022, 0.486364]",0.23057,0.134729,"[0.219204, 0.323029, 0.257329, 0.212937, 0.245826, 0.393946, -0.038284]",0.655987,0.050431,"[0.691796, 0.6077, 0.627258, 0.682284, 0.649108, 0.596723, 0.737038]",0.581733,0.622279,0.591265,0.632329,0.586969,0.62542,0.578364,0.618545,0.576563,0.617585,0.646689,0.690812,0.178148,0.258197
CNN-LSTM_G2,CNN-LSTM,G2,23,0.49516,0.0191,"[0.479167, 0.47181, 0.491071, 0.529762, 0.491071, 0.495549, 0.507692]",0.411584,0.149424,"[0.239583, 0.549512, 0.517927, 0.264881, 0.509046, 0.54629, 0.253846]",0.507153,0.009654,"[0.5, 0.525611, 0.507205, 0.5, 0.503121, 0.514134, 0.5]",0.378556,0.04165,"[0.323944, 0.428269, 0.412317, 0.346304, 0.399843, 0.402482, 0.336735]",0.373127,0.03554,"[0.310446, 0.404392, 0.403353, 0.366917, 0.392879, 0.391986, 0.341915]",0.530993,0.030746,"[0.590417, 0.530784, 0.499805, 0.504445, 0.518316, 0.547537, 0.525644]",0.022248,0.028444,"[0.0, 0.07122, 0.02273, 0.0, 0.010626, 0.051157, 0.0]",0.70257,0.010264,"[0.703536, 0.707541, 0.722628, 0.695842, 0.694161, 0.69332, 0.700963]",0.475886,0.516432,0.498528,0.579831,0.499662,0.519428,0.370563,0.403019,0.355138,0.402815,0.499153,0.547203,-0.00145,0.079411
XGBoost_G3,XGBoost,G3,33,0.71377,0.105419,"[0.767857, 0.780415, 0.755952, 0.6875, 0.738095, 0.780415, 0.486154]",0.723037,0.107424,"[0.768315, 0.800293, 0.756406, 0.7152, 0.749331, 0.784437, 0.487274]",0.709795,0.103302,"[0.768696, 0.755046, 0.75677, 0.675188, 0.741055, 0.782891, 0.48892]",0.705666,0.110184,"[0.767824, 0.761459, 0.755918, 0.667192, 0.736518, 0.780321, 0.470431]",0.707536,0.1113,"[0.767939, 0.771636, 0.756039, 0.672085, 0.735911, 0.780118, 0.469027]",0.789368,0.129469,"[0.845182, 0.849831, 0.832334, 0.801806, 0.825207, 0.87133, 0.499886]",0.432272,0.209644,"[0.53701, 0.553493, 0.513176, 0.388332, 0.490315, 0.567326, -0.023749]",0.571551,0.158585,"[0.496815, 0.50378, 0.507085, 0.579409, 0.525545, 0.465705, 0.922519]",0.697397,0.734528,0.697711,0.734315,0.697725,0.734656,0.697382,0.734452,0.697454,0.734558,0.764976,0.801089,0.395549,0.469092
